detail_url,title,published_gregorian,pdf_url
https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-09-27,Nepal Daily Operational Report 2081_09_27,"January 11, 2025",https://td.neasite.dryicesolutions.net/uploads/shares/Daily_op_reports/NDOR%202081_09_27.pdf
https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-09-26,Nepal Daily Operational Report 2081_09_2,"January 10, 2025",https://td.neasite.dryicesolutions.net/uploads/shares/Daily_op_reports/NDOR%202081_09_26.pdf
https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-09-25,Nepal Daily Operational Report 2081_09_25,"January 09, 2025",https://td.neasite.dryicesolutions.net/uploads/shares/Daily_op_reports/NDOR%202081_09_25.pdf
https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-09-24,Nepal Daily Operational Report 2081_09_24,"January 08, 2025",https://td.neasite.dryicesolutions.net/uploads/shares/Daily_op_reports/NDOR%202081_09_24.pdf
https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-09-23,Nepal Daily Operational Report 2081_09_23,"January 07, 2025",https://td.neasite.dryicesolutions.net/uploads/shares/Daily_op_reports/NDOR%202081_09_23.pdf
https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-09-22,Nepal Daily Operational Report 2081_09_22,"January 06, 2025",https://td.neasite.dryicesolutions.net/uploads/shares/Daily_op_reports/NDOR%202081_09_22.pdf
https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-09-21, Nepal Daily Operational Report 2081_09_21,"January 05, 2025",https://td.neasite.dryicesolutions.net/uploads/shares/Daily_op_reports/NDOR%202081_09_21.pdf
https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-09-20,Nepal Daily Operational Report 2081_09_20,"January 04, 2025",https://td.neasite.dryicesolutions.net/uploads/shares/Daily_op_reports/NDOR%202081_09_20.pdf
https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-09-19,Nepal Daily Operational Report 2081_09_19,"January 03, 2025",https://td.neasite.dryicesolutions.net/uploads/shares/Daily_op_reports/NDOR%202081_09_19.pdf
https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-09-18,Nepal Daily Operational Report 2081_09_18,"January 02, 2025",https://td.neasite.dryicesolutions.net/uploads/shares/Daily_op_reports/NDOR%202081_09_18.pdf
https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-09-17, Nepal Daily Operational Report 2081_09_1,"January 01, 2025",https://td.neasite.dryicesolutions.net/uploads/shares/Daily_op_reports/NDOR%202081_09_17.pdf
https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-09-16, Nepal Daily Operational Report 2081_09_16,"December 31, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/Daily_op_reports/NDOR%202081_09_16.pdf
https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-09-15, Nepal Daily Operational Report 2081_09_15,"December 30, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/Daily_op_reports/NDOR%202081_09_15.pdf
https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-09-14,Nepal Daily Operational Report 2081_09_14,"December 29, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/Daily_op_reports/NDOR%202081_09_14.pdf
https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-09-13,Nepal Daily Operational Report 2081_09_13,"December 28, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/Daily_op_reports/NDOR%202081_09_13.pdf
https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-09-12,Nepal Daily Operational Report 2081_09_12,"December 27, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/Daily_op_reports/NDOR%202081_09_12.pdf
