bs_date,gregorian_date,fiscal_year,bs_year,bs_month,bs_month_name,bs_day,fiscal_month_order,nea_subsidiary_mwh,nea_generation_mwh,ipp_mwh,import_mwh,total_energy_available_mwh,export_mwh,inps_demand_met_mwh,energy_interruption_mwh,generation_deficit_mwh,energy_requirement_mwh,net_exchange_india_mwh,peak_time,generation_mw,peak_import_mw,peak_availability_mw,peak_export_mw,demand_met_at_peak_mw,peak_interruption_mw,peak_deficit_mw,peak_requirement_mw,net_exchange_india_mw,detail_url,title,published_gregorian,pdf_url,pdf_filename
2081/08/18,2024/12/3,2081_2082,2081,8,Mangsir,18,5,7962,2785,21318,1276,33340,753,32588,1200,0,33788,523,17:45,1495,38,1532,0,1532,250,0,1782,38,https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-08-18-r1,Nepal Daily Operational Report 2081_08_18 R1,"December 03, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/press_release/NDOR%202081_08_18.pdf,NDOR%202081_08_18.pdf
2081/08/19,2024/12/4,2081_2082,2081,8,Mangsir,19,5,8518,3108,21428,1832,34886,965,33921,1500,0,35421,867,17:50,1575,66,1641,0,1641,250,0,1891,66,https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-08-19-r1,Nepal Daily Operational Report 2081_08_19 R1,"December 04, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/press_release/NDOR%202081_08_19.pdf,NDOR%202081_08_19.pdf
2081/08/20,2024/12/5,2081_2082,2081,8,Mangsir,20,5,7887,2770,20762,1905,33324,420,32904,1300,0,34204,1485,17:50,1519,68,1587,0,1587,260,0,1847,68,https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-08-20-r1,Nepal Daily Operational Report 2081_08_20 R1,"December 05, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/press_release/NDOR%202081_08_20.pdf,NDOR%202081_08_20.pdf
2081/08/21,2024/12/6,2081_2082,2081,8,Mangsir,21,5,8188,2397,21040,1794,33418,346,33072,1320,0,34392,1448,17:50,1497,68,1565,0,1565,300,0,1865,68,https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-08-21-r1,Nepal Daily Operational Report 2081_08_21 R1,"December 06, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/press_release/NDOR%202081_08_21.pdf,NDOR%202081_08_21.pdf
2081/08/22,2024/12/7,2081_2082,2081,8,Mangsir,22,5,7692,2423,20674,1197,31986,444,31542,600,0,32142,753,17:45,1494,56,1551,0,1551,200,0,1751,56,https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-08-22-r1,Nepal Daily Operational Report 2081_08_22 R1,"December 07, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/press_release/NDOR%202081_08_22.pdf,NDOR%202081_08_22.pdf
2081/08/23,2024/12/8,2081_2082,2081,8,Mangsir,23,5,7935,2864,20263,1197,32259,651,31608,1200,0,32808,546,17:50,1567,40,1608,0,1608,280,0,1888,40,https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-08-23-r1,Nepal Daily Operational Report 2081_08_23 R1,"December 08, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/press_release/NDOR%202081_08_23.pdf,NDOR%202081_08_23.pdf
2081/08/24,2024/12/9,2081_2082,2081,8,Mangsir,24,5,7931,2467,19799,2244,32441,294,32147,1350,0,33497,1950,17:40,1456,71,1527,0,1527,300,0,1827,71,https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-08-24-r1,Nepal Daily Operational Report 2081_08_24 R1,"December 09, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/press_release/NDOR%202081_08_24.pdf,NDOR%202081_08_24.pdf
2081/08/25,2024/12/10,2081_2082,2081,8,Mangsir,25,5,7908,2948,19337,2354,32547,226,32321,1400,0,33721,2128,17:45,1495,75,1570,0,1570,300,0,1870,75,https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-08-25-r1,Nepal Daily Operational Report 2081_08_25 R1,"December 10, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/press_release/NDOR%202081_08_25.pdf,NDOR%202081_08_25.pdf
2081/08/26,2024/12/11,2081_2082,2081,8,Mangsir,26,5,8042,2989,20293,2267,33591,129,33462,1215,0,34677,2138,17:45,1496,91,1588,0,1588,350,0,1938,91,https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-08-26-r1,Nepal Daily Operational Report 2081_08_26 R,"December 11, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/press_release/NDOR%202081_08_26.pdf,NDOR%202081_08_26.pdf
2081/08/27,2024/12/12,2081_2082,2081,8,Mangsir,27,5,7972,2896,19171,2901,32940,155,32785,1900,0,34685,2746,17:40,1468,85,1553,0,1553,330,0,1883,85,https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-08-27-r1, Nepal Daily Operational Report 2081_08_27 R,"December 12, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/press_release/NDOR%202081_08_27.pdf,NDOR%202081_08_27.pdf
2081/08/28,2024/12/13,2081_2082,2081,8,Mangsir,28,5,7636,2836,19130,2667,32269,21,32248,2000,0,34248,2646,17:40,1453,108,1561,0,1561,330,0,1891,108,https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-08-28-r1,Nepal Daily Operational Report 2081_08_28 R,"December 13, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/press_release/NDOR%202081_08_28.pdf,NDOR%202081_08_28.pdf
2081/08/29,2024/12/14,2081_2082,2081,8,Mangsir,29,5,8133,2814,18872,2223,32042,10,32032,2200,0,34232,2213,17:40,1463,71,1534,0,1534,350,0,1884,71,https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-08-29-r1,Nepal Daily Operational Report 2081_08_29 R1,"December 14, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/press_release/NDOR%202081_08_29.pdf,NDOR%202081_08_29.pdf
2081/08/30,2024/12/15,2081_2082,2081,8,Mangsir,30,5,8424,2807,18422,3214,32866,0,32866,2450,0,35316,3214,17:50,1437,214,1651,0,1651,350,0,2001,214,https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-08-30-r1,Nepal Daily Operational Report 2081_08_30 R,"December 15, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/press_release/NDOR%202081_08_30.pdf,NDOR%202081_08_30.pdf
2081/09/1,2024/12/16,2081_2082,2081,9,Poush,1,6,8124,2736,17635,3699,32193,0,32193,3800,0,35993,3699,17:50,1428,150,1578,0,1578,370,0,1948,150,https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-09-01-r1,Nepal Daily Operational Report 2081_09_01 R1,"December 16, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/press_release/NDOR%202081_09_01.pdf,NDOR%202081_09_01.pdf
