project,capacity,river,province_name,district_name,gapanapa_name,license_type,promoter,lic_number,longitude,latitude
Upper Tamakoshi HPP,456.0,Tama Koshi,3,DOLAKHA,Bigu,Generation,Upper Tamakoshi Hydropower Limited,41,86.21666667,27.88055556
Kali Gandaki-Kowan,400.0,Kali Gandaki,4,MUSTANG,Thasang,Generation,Ambeswor Engineering Hydropower Pvt. Ltd,167,83.62791667,28.65208333
Upper Tamor,285.0,Tamor,1,TAPLEJUNG,Phaktanglung,Generation,Tamor Sanima Energy P. Ltd,234,87.74763889,27.46722222
Upper Trishuli-1,216.0,Trishuli,3,RASUWA,Parbati Kunda,Generation,Nepal Water & Energy Development Co. P. Ltd,209,85.25597222,28.10125
Lapche Khola,160.0,Lapche,3,DOLAKHA,Bigu,Generation,Nasa Hydropower Company P Ltd,212,86.19138889,28.01513889
Tanahu HEP,140.0,Seti Khola,4,TANAHU,Ghiring,Generation,Tanahu Hydropower Limited,157,84.17916667,27.95833333
Rasuwa Bhotekoshi,120.0,Bhote koshi,3,RASUWA,Gosaikunda,Generation,Langtang Bhotekosi Hydropower Company Pvt. Ltd,223,85.35416667,28.20472222
Rasuwagadhi,111.0,Bhote koshi,3,RASUWA,Gosaikunda,Generation,Rasuwagadhi H P,75,85.37013889,28.25111111
Madhya Bhotekoshi,102.0,Bhote koshi,3,SINDHUPALCHOK,Bhotekoshi,Generation,Madhya Bhotekoshi Jalbidyut Company Ltd.,108,85.88777778,27.85111111
Super Trishuli,100.0,Trishuli,4,GORKHA,Sahid Lakhan,Generation,Blue Energy Pvt. Ltd,218,84.62583333,27.84680556
Tamakoshi V,87.0,Tama Koshi,3,DOLAKHA,Gaurishankar,Generation,Tamakoshi hydropower Company Ltd.,193,86.20833333,27.79027778
Solu Khola (Dudha Koshi),86.0,Solu Khola,1,SOLUKHUMBU,Dudhkoshi,Generation,Sahas Urja Limited,126,86.65694444,27.39277778
Lower Solu Hydropower Project,82.0,Solu Khola,1,SOLUKHUMBU,Dudhkoshi,Generation,Essel Clean Solu Hydropower Pvt Ltd,118,86.60069444,27.42916667
Sanjen Khola,78.0,Sanjen,3,RASUWA,Parbati Kunda,Generation,Sala Sungi P Ltd,160,85.27791667,28.26347222
Likhu -1,77.0,Likhu Khola,1,SOLUKHUMBU,Likhupike,Generation,Pan Himay Energy Pvt. Ltd,145,86.45,27.63819444
Trishuli Galchhi,75.0,Trishuli,3,NUWAKOT,Meghang,Generation,Siddhakali Power Pvt.Ltd,174,85.02291667,27.82777778
Kaligandaki Upper,65.0,Kali Gandaki,4,MYAGDI,Annapurna,Generation,Tradelink Global P. Ltd,220,83.59333333,28.40472222
Upper Trishuli 3A,60.0,Trishuli,3,RASUWA,Kalika,Generation,Nepal Electricity Authority,43,85.19916667,28.04652778
Likhu -2,55.0,Likhu Khola,1,SOLUKHUMBU,Likhupike,Generation,Global Hydropower Associate Pvt. Ltd,146,86.40597222,27.58736111
Middle Tamor,54.0,Tamor,1,TAPLEJUNG,Phaktanglung,Generation,Sanima Middle Tamor Hydropower Ltd,198,87.68902778,27.40666667
Likhu-4,52.4,Likhu Khola,3,RAMECHHAP,Gokulganga,Generation,Green Ventures Pvt. Ltd,59,86.29166667,27.45819444
Upper Lapche Khola,52.0,Lapche,3,DOLAKHA,Bigu,Generation,Energy Venture Pvt. Ltd.,182,86.17069444,28.08263889
Likhu Khola 'A',51.0,Likhu Khola,1,SOLUKHUMBU,Likhupike,Generation,Numbur Himalaya Hydropower Pvt. Ltd,148,86.37152778,27.54458333
Marsyangdi Besi,50.0,Marsyangdi,4,LAMJUNG,Besishahar,Generation,Divyajyoti Hydropower Pvt. Ltd.,206,84.38263889,28.23333333
Mewa Khola Hydropower project,50.0,Mewa Khola,1,TAPLEJUNG,Phungling,Generation,United Mewa Khola Hydropower Pvt Ltd,201,87.61597222,27.425
Super Dordi Kha Hydropower Project,49.6,Dordi,4,LAMJUNG,Dordi,Generation,Peoples Hydropower Company Pvt.Ltd.,115,84.54305556,28.29208333
Khimti II,48.8,Khimti Khola,3,DOLAKHA,Tamakoshi,Generation,Peoples Hydro sahakari Sastha Limited,179,86.19861111,27.56944444
Kasuwa Khola HPP,45.0,Kasuwa,1,SANKHUWASABHA,Makalu,Generation,Kasuwa Hydropower Ltd,213,87.28277778,27.60555556
Super Madi,44.0,Madi Khola,4,KASKI,Madi,Generation,Himal Hydro and General Construction Ltd.,192,84.11097222,28.33902778
Upper Nyasim Khola,43.0,Nyasem Khola,3,SINDHUPALCHOK,Bhotekoshi,Generation,Sindhujwala Hydropower P. Ltd,176,85.82777778,28.00555556
Ankhu Khola,42.9,Ankhu Khola,3,NUWAKOT,Kispang,Generation,Ankhu Hydropower Pvt. Ltd,184,84.99916667,28.09166667
Sanjen,42.5,Sanjen,3,RASUWA,Gosaikunda,Generation,Sanjen Jalvidyut Co.,55,85.28958333,28.2
Mristi Khola,42.0,Mristi,4,MYAGDI,Annapurna,Generation,Robust Energy Ltd.,53,83.66555556,28.51902778
Upper Modi A,42.0,Modi Khola,4,KASKI,Machhapuchchhre,Generation,Nepal Electricity Authority,135,83.80736111,28.3675
Super Nyadi Hydropower Project,40.27,Nyadi,4,LAMJUNG,Dordi,Generation,Siuri Nyadi Power Pvt. Ltd,204,84.47708333,28.37944444
Khani Khola - 1,40.0,Khani Khola,3,DOLAKHA,Gaurishankar,Generation,"Green Life Energy Pvt.Ltd,Sirin Bhawan, Lalitpur-1, Kupakdole",46,86.35,27.81888889
Rahughat,40.0,Rahughat,4,MYAGDI,Raghuganga,Generation,Nepal Electricity Authority,49,83.54833333,28.40083333
Upper Kalangad,38.46,Kalanga Gad,7,BAJHANG,Bungal,Generation,Sani Gad Hydro pvt. Ltd,152,80.91527778,29.60930556
Nilgiri Khola,38.0,Nilgiri,4,MUSTANG,Thasang,Generation,Nilgiri Khola Hydropower Company Pvt. Ltd.,202,83.69166667,28.58847222
Kabeli-A,37.6,Kabeli Khola,1,TAPLEJUNG,Sirijangha,Generation,Kabeli Energy Limited,70,87.72291667,27.26013889
Rahughat Mangale,37.0,Rahughat,4,MYAGDI,Raghuganga,Generation,Tundi Power Company P.Ltd.,175,83.51277778,28.50277778
Upper Trishuli 3B,37.0,Trishuli,3,RASUWA,Uttargaya,Generation,Nepal Electricity Authority,104,85.185,28.00458333
Upper Balephi A,36.0,Balephi,3,SINDHUPALCHOK,Jugal,Generation,Balephi Hydropower Ltd.,163,85.77638889,27.92291667
Khani Khola (Dolakha),30.0,Khani Khola,3,DOLAKHA,Gaurishankar,Generation,Sasha Engineering Hydropower P. Ltd,92,86.30694444,27.80111111
Nyadi Khola,30.0,Nyadi,4,LAMJUNG,Marsyangdi,Generation,Nyadi Hydropower Limited,83,84.44513889,28.33708333
Lower Likhu,28.1,Likhu Khola,3,RAMECHHAP,Umakunda,Generation,Swaita Ganga Hydropower and Construction Pvt. Ltd.,154,86.24097222,27.40513889
Dordi Khola,27.0,Dordi,4,LAMJUNG,Sundarbazar,Generation,Himalaya Power Partner Pvt. Ltd,48,84.45416667,28.19611111
Upper Khudi,26.0,Khudi,4,LAMJUNG,Marsyangdi,Generation,Super Khudi Hydropower Co.Pvt. Ltd.,232,84.32722222,28.335
Durbang Myagdi Khola,25.0,Myagdi Khola,4,MYAGDI,Mangala,Generation,Dhaulagiri Kalika Hydropower P Ltd,130,83.40694444,28.41458333
Kabeli B - 1,25.0,Kabeli Khola,1,TAPLEJUNG,Yangwarak,Generation,Arun Kabeli Power Limited.,98,87.80972222,27.28
Singati Khola hydropower project,25.0,Singati,3,DOLAKHA,Kalinchok,Generation,Singati Hydro Energy Pvt. Ltd.,150,86.14166667,27.76069444
Upper Dordi A HEP,25.0,Dordi,4,LAMJUNG,Dudhpokhari,Generation,Liberty Energy Hydropower Pvt. Ltd.,121,84.50625,28.26111111
Khare Hydropower Project,24.1,Khare,3,DOLAKHA,Gaurishankar,Generation,Constorium Power Developers Pvt Ltd,122,86.26666667,27.78
Balephi,23.52,Balephi,3,SINDHUPALCHOK,Jugal,Generation,Balephi Jalbidhut Company Ltd,191,85.75833333,27.87833333
Solu Hydropower Project,23.5,Solu Khola,1,SOLUKHUMBU,Solududhakunda,Generation,Upper Solu Hydroelectric Company Pvt Ltd,117,86.57583333,27.4625
Upper Chaku A,22.2,Chaku,3,SINDHUPALCHOK,Bhotekoshi,Generation,Shiva Sri Hydropower Pvt. Ltd,58,85.95083333,27.86694444
Bagmati Nadi,22.0,Bagmati,3,LALITPUR,Konjyosom,Generation,Mandu Hydropower Pvt. Ltd.,125,85.24208333,27.52375
