project,capacity_mw,river,record_number,record_id,source_url,source_updated_on,latitude_1_dms,latitude_2_dms,longitude_1_dms,longitude_2_dms,reference_latitude,reference_longitude,coordinate_precision,local_registry_relation
Nilgiri Khola-II cascade Project,71.0,Nilgiri,241,800ef477892983f09210,https://doed.gov.np/pages/powerplantsmorethan1,2026-07-02,"28o 32' 17""","28o 34' 37""","83o 40' 00""","83o 43' 00""",28.5575,83.691667,DoED licence-envelope reference midpoint; not a facility location,official operating record unmatched to legacy Naxa/local registry
Upper Rahughat,48.5,Rahughat,253,ed36eea054b7c6013ecd,https://doed.gov.np/pages/powerplantsmorethan1,2026-07-02,"28o 25' 46""","28o 28' 30""","83o 30' 00""","83o 31' 50""",28.452222,83.515278,DoED licence-envelope reference midpoint; not a facility location,official operating record unmatched to legacy Naxa/local registry
Mathillo Thulo Khola A HEP,22.5,Thulo Khola,371,8799ffbe24e9c7078643,https://doed.gov.np/pages/powerplantsmorethan1,2026-07-02,"28o 34' 56""","28o 36' 02""","83o 31' 10""","83o 32' 40""",28.591389,83.531944,DoED licence-envelope reference midpoint; not a facility location,official operating record unmatched to legacy Naxa/local registry
Lower Modi -1,10.0,Modi Khola,29,3d53d98a849347db17c4,https://doed.gov.np/pages/powerplantsmorethan1,2026-07-02,"28o 13' 15""","28o 14' 07""","83o 42' 05""","83o 43' 00""",28.228056,83.709028,DoED licence-envelope reference midpoint; not a facility location,official operating record unmatched to legacy Naxa/local registry
Upper Ingwa Khola,9.7,Ingwa Khola,329,afa4adf5e3cb00ce460c,https://doed.gov.np/pages/powerplantsmorethan1,2026-07-02,"27o 16' 41""","27o 17' 20""","87o 53' 03""","87o 55' 20""",27.283472,87.903194,DoED licence-envelope reference midpoint; not a facility location,official operating record unmatched to legacy Naxa/local registry
Super Hewa HPP,6.0,Hewa (Sankhuwasabha),254,bcb165074c91242498a2,https://doed.gov.np/pages/powerplantsmorethan1,2026-07-02,"27o 20' 55""","27o 22' 15""","87o 22' 25""","87o 24' 22""",27.359722,87.389861,DoED licence-envelope reference midpoint; not a facility location,official operating record unmatched to legacy Naxa/local registry
Upper Phawa HPP,5.8,Phawa Khola,238,94e9229335db1e617732,https://doed.gov.np/pages/powerplantsmorethan1,2026-07-02,"27o 19' 04""","27o 21' 02""","87o 46' 05""","87o 48' 12""",27.334167,87.785694,DoED licence-envelope reference midpoint; not a facility location,official operating record unmatched to legacy Naxa/local registry
Puwa II hydropower Project,4.96,Puwa,240,3902e8ce494d16aff88e,https://doed.gov.np/pages/powerplantsmorethan1,2026-07-02,"26o 57' 14""","26o 59' 24""","87o 53' 49""","87o 54' 34""",26.971944,87.903194,DoED licence-envelope reference midpoint; not a facility location,official operating record unmatched to legacy Naxa/local registry
Upper Lohore SHP,4.0,Lohare Khola,246,f55a024995e31355dd2f,https://doed.gov.np/pages/powerplantsmorethan1,2026-07-02,"28o 56' 01""","28o 57' 21""","81o 48' 13""","81o 48' 40""",28.944722,81.807361,DoED licence-envelope reference midpoint; not a facility location,official operating record unmatched to legacy Naxa/local registry
Miya Khola,0.996,Miya,,9c0dd47b37e3353f2428,https://doed.gov.np/pages/powerplantslessthan1,2026-07-02,"27o 10' 24""","27o 11' 30""","86o 49' 22""","86o 49' 51""",27.1825,86.826806,DoED licence-envelope reference midpoint; not a facility location,official operating record unmatched to legacy Naxa/local registry
Pati Khola,0.996,Pati,,c4cf5eac993a1d6ac022,https://doed.gov.np/pages/powerplantslessthan1,2026-07-02,"00o 00' 00""","00o 00' 00""","00o 00' 00""","00o 00' 00""",,,DoED record has no usable coordinate envelope; not mapped,official operating record unmatched to legacy Naxa/local registry
Upper Hadi Khola,0.99,Hadi,,10a527d1310613eeac95,https://doed.gov.np/pages/powerplantslessthan1,2026-07-02,"00o 00' 00""","00o 00' 00""","00o 00' 00""","00o 00' 00""",,,DoED record has no usable coordinate envelope; not mapped,official operating record unmatched to legacy Naxa/local registry
Belkhu Khola,0.518,Belkhu Khola,,d16e7dd407297ccf9d51,https://doed.gov.np/pages/powerplantslessthan1,2026-07-02,"00o 00' 00""","00o 00' 00""","00o 00' 00""","00o 00' 00""",,,DoED record has no usable coordinate envelope; not mapped,official operating record unmatched to legacy Naxa/local registry
Rairang,0.5,Rairang,,8b6126b5e53cd15e1d2c,https://doed.gov.np/pages/powerplantslessthan1,2026-07-02,"00o 00' 00""","00o 00' 00""","00o 00' 00""","00o 00' 00""",,,DoED record has no usable coordinate envelope; not mapped,official operating record unmatched to legacy Naxa/local registry
Sali Nadi,0.232,Sali Nadi,,62ec2b60cb1d7c3b1cc1,https://doed.gov.np/pages/powerplantslessthan1,2026-07-02,"00o 00' 00""","00o 00' 00""","00o 00' 00""","00o 00' 00""",,,DoED record has no usable coordinate envelope; not mapped,official operating record unmatched to legacy Naxa/local registry
Syange Khola,0.183,Syange,,f8b05b76f6923e5ff0d4,https://doed.gov.np/pages/powerplantslessthan1,2026-07-02,"00o 00' 00""","00o 00' 00""","00o 00' 00""","00o 00' 00""",,,DoED record has no usable coordinate envelope; not mapped,official operating record unmatched to legacy Naxa/local registry
