official_project,official_capacity_mw,official_regulatory_category,official_river,official_record_number,official_source_url,suggested_local_project,suggested_local_capacity_mw,suggested_local_license_type,name_similarity,river_similarity,capacity_similarity,coordinate_distance_km,coordinate_similarity,combined_similarity,review_decision
Upper Arun HEP,1063.36,generation_license,Arun,506,https://doed.gov.np/pages/clhydromorethan1,Upper Barunkhola HEP,55.0,Survey,0.769,0.889,0.052,11.556,0.769,0.685,rejected_distinct_project
Tila-1 Hydropower Project,440.0,generation_license,Tila,236,https://doed.gov.np/pages/clhydromorethan1,Phukot Karnali,426.0,Survey,0.2,0.182,0.968,12.891,0.742,0.42,rejected_distinct_project
Tila-2 Hydropower Project,420.0,generation_license,Tila,237,https://doed.gov.np/pages/clhydromorethan1,Phukot Karnali,426.0,Survey,0.2,0.182,0.986,17.496,0.65,0.404,rejected_distinct_project
Bajhang Upper Seti HEP,216.0,generation_license,Seti (Far West),437,https://doed.gov.np/pages/clhydromorethan1,Chainpur Seti,210.0,Survey,0.645,0.522,0.972,13.409,0.732,0.687,rejected_distinct_project
Lower Manang Marsyangdi,139.2,generation_license,Marsyangdi,242,https://doed.gov.np/pages/clhydromorethan1,Marshyangdi-7 Hydropower Project,54.0,Survey,0.556,1.0,0.388,14.038,0.719,0.652,rejected_distinct_project
Upper Marsyangdi 1,138.0,generation_license,Marsyangdi,247,https://doed.gov.np/pages/clhydromorethan1,Upper Marsyangdi A,50.0,Operation,0.944,1.0,0.362,5.395,0.892,0.858,rejected_distinct_project
Manang Marsyangdi,135.0,generation_license,Marsyangdi,243,https://doed.gov.np/pages/clhydromorethan1,Marshyangdi-7 Hydropower Project,54.0,Survey,0.667,1.0,0.4,8.318,0.834,0.727,rejected_distinct_project
Budhi Gandaki Ka,130.0,generation_license,Budhi Gandaki,426,https://doed.gov.np/pages/clhydromorethan1,Budhi Gandaki Kha HEP,260.0,Survey,0.97,0.96,0.5,8.945,0.821,0.868,rejected_distinct_project
Marsyangdi River PRoR Hydropower Project,90.0,generation_license,Marsyangdi,509,https://doed.gov.np/pages/clhydromorethan1,Marsyangdi,69.0,Operation,0.645,1.0,0.767,13.834,0.723,0.75,unreviewed_no_auto_accept
Chameliya (Chhetigad),85.0,generation_license,Chameliya Khola,248,https://doed.gov.np/pages/clhydromorethan1,Chameliya Khola,30.0,Operation,0.706,1.0,0.353,18.743,0.625,0.696,rejected_distinct_project
