local_project,local_capacity_mw,local_license_type,local_river,match_status,match_confidence,match_basis,doed_primary_category,doed_status_display,doed_categories,doed_record_status,doed_license_status,doed_study_status,doed_delivery_status,doed_capacity_mw,doed_capacity_difference_mw,doed_project_names,doed_record_numbers,doed_source_urls,doed_source_updated_on,doed_record_ids
Aayu Chhatigad Hydropower Project,13.942,Survey,Chatti Gad,exact,high,conservative normalized name with spatial/capacity compatibility,cancelled_survey_license,Survey licence cancelled,cancelled_survey_license,cancelled,survey_license_cancelled,,,13.942,0.0,Aayu Chhatigad HEP (SLC),,https://doed.gov.np/pages/slc,2026-07-02,e2d1dc88478bd056b73a
Aayu Malun Khola Hydro-Electric Project,21.0,Survey,Malun,exact,high,conservative normalized name with spatial/capacity compatibility,generation_license,Generation licence,generation_license,active,generation_license,,,21.0,0.0,Aayu Malun Khola HEP,383,https://doed.gov.np/pages/clhydromorethan1,2026-07-02,18fd4c459523a5765dd3
Adhikhola Storage HEP,180.0,Survey,Adhikhola,exact,high,conservative normalized name with spatial/capacity compatibility,generation_application,Generation-licence application,generation_application,active,generation_application,,,180.0,0.0,Adhikhola Storage HEP,9000.0,https://doed.gov.np/pages/appclhydro,2026-07-02,8b462dcf890aaa5ed115
Akhu Khola-2 HPP,20.0,Survey,Akhu Khola,exact,high,conservative normalized name with spatial/capacity compatibility,generation_license,Generation licence,generation_license,active,generation_license,,,20.0,0.0,Akhu Khola-2 HEP,398,https://doed.gov.np/pages/clhydromorethan1,2026-07-02,e740d3b4aec5f8063d13
Andhi Khola,9.4,Operation,Andhi Khola,exact,high,conservative normalized name with spatial/capacity compatibility,operating_record,Operating record,operating_record,active,operating_record,,operating,9.4,0.0,Andhi Khola,2_gtd,https://doed.gov.np/pages/powerplantsmorethan1,2026-07-02,3412db4106946d31b855
Ankhu Khola,42.9,Generation,Ankhu Khola,exact,high,conservative normalized name with spatial/capacity compatibility,generation_license,Generation licence,cancelled_survey_application | generation_license,mixed,generation_license,,,42.9,0.0,Ankhu Khola | Ankhu Khola HPP,1016 | 184 | 2701,https://doed.gov.np/pages/canceled_hydro/ | https://doed.gov.np/pages/clhydromorethan1,2026-07-02,099bb0723c138704066c | 5096f3c26b47f2e2418e | 582d8ed34e9a806500dd | 5c916d951a127346bbdb | 700cc7a650930fda048e | da0feb7d1d4a1942a701
Ankhu Khola - 1,7.0,Operation,Ankhu Khola,exact,high,conservative normalized name with spatial/capacity compatibility,operating_record,Operating record,operating_record,active,operating_record,,operating,7.0,0.0,Ankhu Khola - 1,32,https://doed.gov.np/pages/powerplantsmorethan1,2026-07-02,3bc95419f04db39d23ba
Apsuwa I HEP,23.0,Survey,Apsuwa,exact,high,conservative normalized name with spatial/capacity compatibility,generation_application,Generation-licence application,generation_application,active,generation_application,,,23.0,0.0,Apsuwa I HEP,3348.0,https://doed.gov.np/pages/appclhydro,2026-07-02,d0ee9124d2f46a226daf
Arun 3,900.0,Survey,Arun,exact,high,conservative normalized name with spatial/capacity compatibility,generation_license,Generation licence,generation_license,active,generation_license,,,900.0,0.0,Arun 3,001/74-75,https://doed.gov.np/pages/clhydromorethan1,2026-07-02,90bc0998463b4754e103
Arun Khola 2 HEP,2.16,Survey,Arun Khola,exact,high,conservative normalized name with spatial/capacity compatibility,generation_license,Generation licence,generation_license,active,generation_license,,,2.0,0.16,Arun Khola 2 HEP,357,https://doed.gov.np/pages/clhydromorethan1,2026-07-02,2435ca5ae2052e3788b6
