external_name,external_capacity_mw,external_category,external_river,external_license_no,suggested_local_name,suggested_local_capacity_mw,suggested_local_license_type,name_similarity,river_similarity,capacity_similarity,combined_similarity,review_status
Upper Arun HEP,1063.36,construction,Arun,506,Upper Karnali,900.0,Survey,0.783,0.545,0.846,0.738,unreviewed_no_auto_accept
Tila-1 Hydropower Project,440.0,construction,Tila,236,Tinau,1.024,Operation,0.545,0.667,0.002,0.492,unreviewed_no_auto_accept
Tila-2 Hydropower Project,420.0,construction,Tila,237,Tinau,1.024,Operation,0.545,0.667,0.002,0.492,unreviewed_no_auto_accept
Kaligandaki Koban,400.0,construction,Kali Gandaki,167,Kali Gandaki-Kowan,400.0,Generation,0.914,1.0,1.0,0.947,unreviewed_no_auto_accept
Bajhang Upper Seti HEP,216.0,construction,Seti (Far West),437,Chainpur Seti,210.0,Survey,0.645,0.522,0.972,0.666,unreviewed_no_auto_accept
Kaligandaki Gorge,180.0,construction,Kali Gandaki,251,Kaligandki Gorge,164.0,Survey,0.97,1.0,0.911,0.968,unreviewed_no_auto_accept
Lower Manang Marsyangdi,139.2,construction,Marsyangdi,242,Madhya Marsyangdi,70.0,Operation,0.7,1.0,0.503,0.739,unreviewed_no_auto_accept
Upper Marsyangdi 1,138.0,construction,Marsyangdi,247,Upper Marsyangdi A,50.0,Operation,0.944,1.0,0.362,0.87,unreviewed_no_auto_accept
Manang Marsyangdi,135.0,construction,Marsyangdi,243,Madhya Marsyangdi,70.0,Operation,0.824,1.0,0.519,0.818,unreviewed_no_auto_accept
Budhi Gandaki Ka,130.0,construction,Budhi Gandaki,426,Budhi Gandaki Kha HEP,260.0,Survey,0.97,0.96,0.5,0.897,unreviewed_no_auto_accept
Marsyangdi River PRoR Hydropower Project,90.0,construction,Marsyangdi,509,Marsyangdi,69.0,Operation,0.645,1.0,0.767,0.745,unreviewed_no_auto_accept
Chameliya (Chhetigad),85.0,construction,Chameliya Khola,248,Chameliya Khola,30.0,Operation,0.706,1.0,0.353,0.721,unreviewed_no_auto_accept
