normalized_name,local_name,external_name,local_capacity_mw,external_capacity_mw,absolute_difference_mw,local_license_type,external_category,local_river,external_river
budhi gandaki prok khola,Budhi Gandaki Prok Khola HEP,Budhi Gandaki Prok Khola HEP,420.0,81.0,339.0,Survey,construction,Budhi Gandaki,Budhi Gandaki
upper tamor,Upper Tamor HEP,Upper Tamor,32.5,285.0,252.5,Survey,construction,Tamor,Tamor
betan karnali,Betan Karnali HP,Betan Karnali HEP,688.0,439.0,249.0,Survey,construction,Karnali,Karnali
jagdulla,Jagdulla HEP,Jagdulla HEP,307.0,106.0,201.0,Survey,construction,Bheri,Bheri
bheri 1,Bheri-1 HEP,Bheri-1 HEP,440.0,270.0,170.0,Survey,app_const,Bheri,Bheri
surke dudhkoshi,Surke Dudhkoshi HEP,Surke Dudhkoshi HEP,350.0,188.0,162.0,Survey,app_const,Dudhkoshi,Dudhkoshi
dudhkoshi 6,Dudhkoshi-6 HEP,Dudhkoshi-6 HEP,83.0,171.0,88.0,Survey,app_const,Dudh Koshi,Dudhkoshi
seti nadi 3,Seti Nadi-3,Seti Nadi-3 HEP,165.0,87.0,78.0,Survey,construction,Seti Khola,Seti (Far West)
dudhkoshi 9,Dudhkoshi-9 HPP,Dudhkoshi - 9 Hydropower Project,111.0,166.0,55.0,Survey,app_survey,Dudhkoshi,Dudhkoshi
upper barunkhola,Upper Barunkhola HEP,Upper Barunkhola HEP,55.0,109.5,54.5,Survey,survey,Barun,Barun
phukot karnali,Phukot Karnali,Phukot Karnali HEP,426.0,480.0,54.0,Survey,app_const,Karnali,Karnali
lower seti tanahu,Lower Seti (Tanahu) HEP,Lower Seti (Tanahu) HEP,92.0,126.0,34.0,Survey,app_const,Seti,Seti Khola (Gandaki)
lower isuwa khola,Lower Isuwa Khola HPP,Lower Isuwa Khola Hydropower Project,37.7,4.9,32.8,Survey,app_survey,Isuwa Khola,Isuwa Khola
dana khola,Dana Khola Hydropower Project,Dana Khola HEP,19.0,49.95,30.95,Survey,construction,Dana Khola,Dana Khola
dadagau khalanga bheri,Dadagau Khalanga Bheri Hydropower Project,Dadagau Khalanga Bheri HEP,128.0,97.43,30.57,Survey,gon_under_study,Bheri,Bheri
upper myagdi i,Upper Myagdi-I HEP,Upper Myagdi-I HEP,80.0,53.5,26.5,Survey,construction,Myagdi Khola,Myagdi Khola
palun khola 1,Palun khola 1 Hydropower Project,Palun khola 1 HEP,4.95,30.0,25.05,Survey,construction,Palun Khola,Palun Khola
middle mewa,Middle Mewa HPP,Middle Mewa HPP,49.0,73.5,24.5,Survey,construction,Mewa Khola,Mewa Khola
lapche tamakoshi,Lapche- Tamakoshi HEP,Lapche- Tamakoshi HEP,22.0,42.0,20.0,Survey,construction,"Lapche, Tamakoshi",Lapche
middle tamor,Middle Tamor,Middle Tamor,54.0,73.0,19.0,Generation,operation,Tamor,Tamor
super budhigandaki,Super Budhigandaki,Super Budhigandaki HEP,52.0,34.39,17.61,Survey,gon_under_study,Budhigandaki,Budhi Gandaki
upper myagdi,Upper Myagdi,Upper Myagdi,20.0,37.0,17.0,Generation,construction,Myagdi Khola,Myagdi Khola
simbuwa khola,Simbuwa Khola Hydroelectric Project,Simbuwa Khola HEP,53.7,70.3,16.6,Survey,construction,Simbuwa Khola,Simbuwa Khola
thulo khola,Thulo Khola HPP,Thulo Khola Hydropower Project,4.99,21.3,16.31,Survey,operation,Thulo Khola,Thulo Khola
upper sankhuwa khola,Upper Sankhuwa Khola HEP,Upper Sankhuwa Khola HEP,24.0,40.0,16.0,Survey,construction,Sankhuwa,Sankhuwa
middle chameliya,Middle Chameliya HPP,Middle Chameliya HEP,13.0,28.304,15.304,Survey,construction,Chameliya Khola,Chameliya Khola
chujung khola,Chujung Khola HEP,Chujung Khola HEP,48.0,63.0,15.0,Survey,construction,Chujung,Chhujung
chunchet syar khola,Chunchet Syar Khola HEP,Chunchet Syar Khola HEP,60.0,45.0,15.0,Survey,construction,Syar Khola,Syar Khola
upper nyasem a,Upper Nyasem A HEP,Upper Nyasem A HEP,7.5,21.0,13.5,Survey,app_const,Nyasem Khola,Nyasem Khola
tamakoshi v,Tamakoshi V,Tamakoshi V,87.0,99.8,12.8,Generation,construction,Tama Koshi,Tama Koshi
kabeli 3,Kabeli-3 HEP,Kabeli-3 Hydropower Project,21.93,9.85,12.08,Survey,survey,Kabeli,Kabeli Khola
upper tamor a,Upper Tamor A HPP,Upper Tamor A HEP,72.0,60.0,12.0,Survey,construction,Tamor,Tamor
kunban khola,Kunban Khola HPP,Kunban Khola HEP,8.2,20.0,11.8,Survey,construction,Kunban,Kunban
balephi a,Balephi A,Balephi A,10.6,22.14,11.54,Generation,construction,Balephi,Balephi
hongu khola i,Hongu Khola I HEP,Hongu Khola I HEP,18.64,30.0,11.36,Survey,construction,Hongu Khola,Hongu Khola
kalika kaligandaki,Kalika Kaligandaki HEP,Kalika Kaligandaki HEP,49.5,38.16,11.34,Survey,construction,Kali Gandaki,Kali Gandaki
super tamor,Super Tamor,Super Tamor HEP,155.0,166.0,11.0,Survey,construction,Tamor,Tamor
