local_name,local_capacity_mw,local_license_type,local_river,reason,candidate_count,candidate_names
Aayu Chhatigad Hydropower Project,13.942,Survey,Chatti Gad,no_exact_normalized_name,0,
Arung Khola,2.0,Survey,Arung,no_exact_normalized_name,0,
Balephi,23.52,Generation,Balephi,no_exact_normalized_name,0,
Balephi Cascade HPP,17.22,Survey,Balephi,no_exact_normalized_name,0,
Bhabil 1 Hydropower Project,13.86,Survey,Bhabil Khola,no_exact_normalized_name,0,
Bheri 4,300.0,Survey,Bheri,no_exact_normalized_name,0,
Bheri Nadi-8 (BR-8) HEP,125.0,Survey,Bheri,no_exact_normalized_name,0,
Bhotekoshi Khola Hydropower Project,33.5,Survey,Bhote Koshi,no_exact_normalized_name,0,
Bhurundi Khola Small HPP,4.73,Survey,Bhurundi Khola,no_exact_normalized_name,0,
Botekoshi 5 HYDROPOWER PROJECT,62.0,Survey,Bhotekoshi,no_exact_normalized_name,0,
Chisang Khola -A Small Hydropower Project,1.8,Survey,Chisang,no_exact_normalized_name,0,
Daraundi-1,10.0,Generation,Daraundi,no_exact_normalized_name,0,
Dhauligad Sunakhani Bagar SHP,0.99,Survey,Dhauligad,no_exact_normalized_name,0,
dobhan Khola HPP,16.0,Survey,Dobhan Khola,ambiguous_duplicate_normalized_name,2,Dobhan Khola HEP | Dobhan Khola Hydroelectric Project
Dudh Khola Dordi HPP,5.0,Survey,Dudh Khola,no_exact_normalized_name,0,
Dudh Khola Small HPP,5.0,Survey,Dudh Khola,no_exact_normalized_name,0,
Dudhkoshi 10 HEP,75.0,Survey,Dudhkoshi,no_exact_normalized_name,0,
Elun Khola,0.485,Survey,Elun Khola,no_exact_normalized_name,0,
Galkot Daram Hydroectric Project,5.0,Survey,Daram,no_exact_normalized_name,0,
Gapuche Madi Nadi HEP,24.0,Survey,Madi,no_exact_normalized_name,0,
Ghunsa Khola HPP,71.5,Survey,Ghunsa Khola,ambiguous_duplicate_normalized_name,4,Ghunsa Khola HEP | Ghunsa Khola HEP | Ghunsa Khola Hydropower Project | Ghunsa Khola
Ghunsa Khola HPP,155.82,Survey,Ghunsa khola,ambiguous_duplicate_normalized_name,4,Ghunsa Khola HEP | Ghunsa Khola HEP | Ghunsa Khola Hydropower Project | Ghunsa Khola
Ghunsa-Tamor HPP,43.0,Survey,Tamor,no_exact_normalized_name,0,
Gidi Khola HEP,9.0,Survey,Gidi,no_exact_normalized_name,0,
Gudrung Khola Small HPP,0.8,Survey,Gudrung Khola,no_exact_normalized_name,0,
Hewa Khola (Chainpur) HEP,2.5,Survey,Hewa Khola,no_exact_normalized_name,0,
Idi Khola SHP,0.975,Generation,Idi Khola,ambiguous_duplicate_normalized_name,2,Idi Khola SHP | Idi Khola SHP
Istul Khola HPP,1.506,Generation,Istul,no_exact_normalized_name,0,
Jeuli-Gad Cascade Hydroelectric Project,2.0,Survey,Jeuli Gad,no_exact_normalized_name,0,
Jhimruk Aglung HPP,1.5,Survey,Jhimruk,no_exact_normalized_name,0,
Jhyari Khola,2.0,Operation,Jhyari Khola,no_exact_normalized_name,0,
Jumdi Khola Small,1.75,Generation,Jumdi,no_exact_normalized_name,0,
Junbesi Small,0.964,Survey,Junbesi Khola,no_exact_normalized_name,0,
Kali Gandaki-Kowan,400.0,Generation,Kali Gandaki,no_exact_normalized_name,0,
Kaligandki Gorge,164.0,Survey,Kali Gandaki,no_exact_normalized_name,0,
Khani Khola Small HPP,0.979,Survey,Khani Khola,no_exact_normalized_name,0,
Khimrung HPP,9.4,Survey,Khimrung,no_exact_normalized_name,0,
Khimti Ghwang Khola Small HPP,9.8,Survey,Khimti Khola,no_exact_normalized_name,0,
Kingtang Khola Small HPP,4.0,Survey,Kingtang Khola,no_exact_normalized_name,0,
Kisedi KHola HEP,0.998,Survey,Kisedi Khola,ambiguous_duplicate_normalized_name,2,Kisedi Khola Hydropower Project | Kisedi Khola Hydropower Project
Kuwadi Khola Hydropower Project,9.6,Survey,Kuwadi,no_exact_normalized_name,0,
Kyadusyo Khola Small HEP,4.5,Survey,Kyadusyo,no_exact_normalized_name,0,
Ladku Khola Small HPP,2.4,Survey,Ladku Khola,no_exact_normalized_name,0,
Langdi Khola Small HPP,4.0,Survey,Langdi,no_exact_normalized_name,0,
Lantang Khola Reservoir Hydropower Project,310.0,Survey,Langtang,no_exact_normalized_name,0,
Lodo Khola Small HEP,1.73,Survey,Lodo Khola,no_exact_normalized_name,0,
Lomsa HEP,1.1,Survey,Dhamile- Ghatte,no_exact_normalized_name,0,
Lower Charnawati,6.4,Survey,Charnawati,no_exact_normalized_name,0,
Lower Dudkunda HPP,6.0,Survey,Dudh Kunda,no_exact_normalized_name,0,
Lower Iguwa Khola Hydro-Electric Project,6.9,Survey,Iwa Khola,no_exact_normalized_name,0,
Lower Jhyari Khola Small HPP,2.5,Survey,Jhyari Khola,no_exact_normalized_name,0,
Lower Modi-II Cascade HPP,10.5,Generation,Modi Khola,no_exact_normalized_name,0,
Lower Rukumgad HEP,5.25,Survey,Rukum gad,no_exact_normalized_name,0,
Lower Thulo Khola Hydropower Project,4.75,Survey,Thulo Khola,no_exact_normalized_name,0,
Ludee Khola SHP,0.75,Generation,Ludi,no_exact_normalized_name,0,
Lung Khola HPP,2.42,Survey,Lung Khola,no_exact_normalized_name,0,
