metric,unit,Shrawan,Bhadra,Ashwin,Kartik,Mangsir,Poush,Magh,Falgun,Chaitra,Baishakh,Jestha,Ashadh,reported_total,source_note
IPP,GWh,1126,1184,1047,905,674,487,411,341,377,460,713,1194,8918,"NEA annual report FY 2024/25 monthly energy balance table"
NEA_SUBSIDIARY,GWh,379,399,167,64,75,133,132,114,123,141,271,467,2464,"NEA annual report FY 2024/25 monthly energy balance table"
NEA_ROR_PROR,GWh,287,247,239,266,243,188,164,141,152,172,247,272,2617,"NEA annual report FY 2024/25 monthly energy balance table"
IMPORT,GWh,0,2,3,0,30,172,296,357,362,354,124,10,1712,"NEA annual report FY 2024/25 monthly energy balance table"
NEA_STORAGE,GWh,15,15,31,18,13,24,12,6,44,50,31,20,280,"NEA annual report FY 2024/25 monthly energy balance table"
NEA_SOLAR,GWh,3,3,3,3,2,2,2,3,3,3,3,3,34,"NEA annual report FY 2024/25 monthly energy balance table"
THERMAL,GWh,0,0,0,0,0,0,0,0,0,0,0,0,0,"NEA annual report FY 2024/25 monthly energy balance table"
INTERRUPTION,GWh,9,7,6,3,25,56,51,50,76,89,47,4,422,"NEA annual report FY 2024/25 monthly energy balance table"
MONTHLY_SYSTEM_ENERGY_DEMAND,GWh,1819,1857,1497,1259,1063,1062,1067,1013,1138,1268,1435,1970,16447,"NEA annual report FY 2024/25 monthly energy balance table"
EXPORT,GWh,508,564,366,296,68,0,0,0,1,0,81,497,2380,"NEA annual report FY 2024/25 monthly energy balance table"
MONTHLY_NATIONAL_ENERGY_DEMAND,GWh,1311,1293,1131,963,995,1061,1067,1013,1136,1268,1355,1472,14067,"NEA annual report FY 2024/25 monthly energy balance table"
