slug,capacity_mw,record_kind,delivery_status,lifecycle_filled,lifecycle_total,lifecycle_pct,output_filled,output_total,output_pct,geography_filled,geography_total,geography_pct,provenance_filled,provenance_total,provenance_pct
solar-energy-lalitpur,0.68,operating-registry-record,operating-registry-listed,5,5,100.0,0,2,0.0,3,5,60.0,6,6,100.0
bishnu-priya-nawalparasi,1,operating-registry-record,operating-registry-listed,5,5,100.0,0,2,0.0,3,5,60.0,6,6,100.0
butwal-solar-ridi-8-5mwp,8.5,operating-registry-record,operating-registry-listed,5,5,100.0,0,2,0.0,3,5,60.0,6,6,100.0
nuwakot-block-1,5.1,operating-registry-record,operating-registry-listed,5,5,100.0,0,2,0.0,3,5,60.0,6,6,100.0
nuwakot-block-2,8.3,operating-registry-record,operating-registry-listed,5,5,100.0,0,2,0.0,3,5,60.0,6,6,100.0
bel-chautara-solar,5,operating-registry-record,operating-registry-listed,5,5,100.0,0,2,0.0,3,5,60.0,6,6,100.0
mithila-solar-dhanusha-10mwp,10,operating-registry-record,operating-registry-listed,5,5,100.0,0,2,0.0,3,5,60.0,6,6,100.0
som-radha-krishna,4.4,operating-registry-record,operating-registry-listed,5,5,100.0,0,2,0.0,3,5,60.0,6,6,100.0
pratappur-solar,5,operating-registry-record,operating-registry-listed,5,5,100.0,0,2,0.0,3,5,60.0,6,6,100.0
chandranigahpur-solar,4,operating-registry-record,operating-registry-listed,5,5,100.0,0,2,0.0,3,5,60.0,6,6,100.0
nuwakot-block-4,1.37,operating-registry-record,operating-registry-listed,5,5,100.0,0,2,0.0,3,5,60.0,6,6,100.0
dhalkebar-solar-3mw,3,operating-registry-record,operating-registry-listed,5,5,100.0,0,2,0.0,3,5,60.0,6,6,100.0
ramgram-solar,2,operating-registry-record,operating-registry-listed,5,5,100.0,0,2,0.0,3,5,60.0,6,6,100.0
morang-utility-solar,6.8,operating-registry-record,operating-registry-listed,5,5,100.0,0,2,0.0,3,5,60.0,6,6,100.0
banke-block-2,10,operating-registry-record,operating-registry-listed,5,5,100.0,0,2,0.0,3,5,60.0,6,6,100.0
raniyapur-block-1,10,operating-registry-record,operating-registry-listed,5,5,100.0,0,2,0.0,3,5,60.0,6,6,100.0
dhalkebar-solar-1mw,1,operating-registry-record,operating-registry-listed,5,5,100.0,0,2,0.0,3,5,60.0,6,6,100.0
simara-solar,1,operating-registry-record,operating-registry-listed,5,5,100.0,0,2,0.0,3,5,60.0,6,6,100.0
dharamnagar-solar,10,operating-registry-record,operating-registry-listed,5,5,100.0,0,2,0.0,3,5,60.0,6,6,100.0
nuwakot-grid-tied,3.09,operating-registry-record,operating-registry-listed,5,5,100.0,0,2,0.0,3,5,60.0,6,6,100.0
nuwakot-block-5,6.5,operating-registry-record,operating-registry-listed,5,5,100.0,0,2,0.0,3,5,60.0,6,6,100.0
shivasatakshi-jhapa,10,operating-registry-record,operating-registry-listed,5,5,100.0,0,2,0.0,3,5,60.0,6,6,100.0
jira-bhawani-sedawa,7.7,operating-registry-record,operating-registry-listed,5,5,100.0,0,2,0.0,3,5,60.0,6,6,100.0
