slug,capacity_mw,status,engineering_filled,engineering_total,output_filled,output_total,financial_filled,financial_total,governance_filled,governance_total,schedule_filled,schedule_total,storage_filled,storage_total,total_filled,total_possible,completeness_pct,tier
upper-tamakoshi,456,operating,2,12,3,8,3,5,1,4,2,3,0,3,11,35,31.4,moderate
arun-3,900,under-construction,3,12,2,8,1,5,4,4,2,3,0,3,12,35,34.3,moderate
dudhkoshi-storage,635,pre-construction,2,12,2,8,1,5,2,4,2,3,2,3,11,35,31.4,moderate
kali-gandaki-a,144,operating,4,12,2,8,0,5,2,4,2,3,0,3,10,35,28.6,moderate
tanahu-hydropower,140,under-construction,3,12,1,8,0,5,2,4,1,3,0,3,7,35,20.0,thin
chameliya-hydropower,30,operating,2,12,2,8,2,5,2,4,3,3,0,3,11,35,31.4,moderate
sahas-urja,86,operating,0,12,6,8,3,5,2,4,2,3,0,3,13,35,37.1,moderate
chilime,22,operating,0,12,3,8,0,5,1,4,2,3,0,3,6,35,17.1,thin
mugu-karnali-storage,1902,pre-construction,3,12,2,8,0,5,2,4,2,3,0,3,9,35,25.7,moderate
upper-karnali,900,stalled,0,12,2,8,0,5,3,4,1,3,0,3,6,35,17.1,thin
karnali-chisapani,10800,conceptual,1,12,1,8,0,5,0,4,0,3,2,3,4,35,11.4,thin
budhigandaki,1200,pre-construction,2,12,4,8,4,5,2,4,2,3,1,3,15,35,42.9,moderate
pancheshwar,6480,stalled,2,12,1,8,0,5,0,4,0,3,0,3,3,35,8.6,thin
phukot-karnali,426,survey,4,12,1,8,0,5,1,4,0,3,0,3,6,35,17.1,thin
west-seti,750,stalled,2,12,1,8,0,5,1,4,0,3,0,3,4,35,11.4,thin
kulekhani-cascade,106,operating,0,12,2,8,0,5,0,4,0,3,0,3,2,35,5.7,thin
nalsyau-gad,410,survey,0,12,4,8,0,5,0,4,0,3,2,3,6,35,17.1,thin
lower-badigad,380.3,survey,0,12,4,8,0,5,0,4,0,3,2,3,6,35,17.1,thin
naumure-w-rapti,245,survey,0,12,4,8,0,5,0,4,0,3,2,3,6,35,17.1,thin
sun-koshi-no-3,536,survey,0,12,4,8,0,5,0,4,0,3,2,3,6,35,17.1,thin
madi,199.8,survey,0,12,4,8,0,5,0,4,0,3,2,3,6,35,17.1,thin
andhi-khola,180,survey,0,12,4,8,0,5,0,4,0,3,2,3,6,35,17.1,thin
chera-1,148.7,survey,0,12,4,8,0,5,0,4,0,3,2,3,6,35,17.1,thin
kokhajor-1,111.5,survey,0,12,4,8,0,5,0,4,0,3,2,3,6,35,17.1,thin
lower-jhimruk,142.5,survey,0,12,4,8,0,5,0,4,0,3,2,3,6,35,17.1,thin
