scenario_id,scenario_label,horizon_year,bs_month,month_order,gregorian_approx,days,demand_gwh,hydro_ror_gwh,hydro_storage_gwh,solar_gwh,bess_gwh,demand_shaping_gwh,import_gap_gwh,export_surplus_gwh
baseline_fy2025,FY 2024/25 Baseline,2025,Shrawan,1,mid-Jul to mid-Aug,31,1819.0,1792.0,15.0,16.1,0.0,0.0,0.0,4.1
baseline_fy2025,FY 2024/25 Baseline,2025,Bhadra,2,mid-Aug to mid-Sep,31,1857.0,1830.0,15.0,15.9,0.0,0.0,0.0,3.9
baseline_fy2025,FY 2024/25 Baseline,2025,Ashwin,3,mid-Sep to mid-Oct,30,1497.0,1453.0,31.0,20.4,0.0,0.0,0.0,7.4
baseline_fy2025,FY 2024/25 Baseline,2025,Kartik,4,mid-Oct to mid-Nov,30,1259.0,1235.0,18.0,20.8,0.0,0.0,0.0,14.8
baseline_fy2025,FY 2024/25 Baseline,2025,Mangsir,5,mid-Nov to mid-Dec,29,1063.0,992.0,13.0,20.4,0.0,0.0,37.6,0.0
baseline_fy2025,FY 2024/25 Baseline,2025,Poush,6,mid-Dec to mid-Jan,29,1062.0,808.0,24.0,14.6,0.0,0.0,215.4,0.0
baseline_fy2025,FY 2024/25 Baseline,2025,Magh,7,mid-Jan to mid-Feb,29,1067.0,707.0,12.0,12.9,0.0,0.0,335.1,0.0
baseline_fy2025,FY 2024/25 Baseline,2025,Falgun,8,mid-Feb to mid-Mar,30,1013.0,596.0,6.0,13.3,0.0,0.0,397.7,0.0
baseline_fy2025,FY 2024/25 Baseline,2025,Chaitra,9,mid-Mar to mid-Apr,30,1138.0,652.0,44.0,15.6,0.0,0.0,426.4,0.0
baseline_fy2025,FY 2024/25 Baseline,2025,Baishakh,10,mid-Apr to mid-May,31,1268.0,773.0,50.0,19.8,0.0,0.0,425.2,0.0
baseline_fy2025,FY 2024/25 Baseline,2025,Jestha,11,mid-May to mid-Jun,31,1435.0,1231.0,31.0,18.3,0.0,0.0,154.7,0.0
baseline_fy2025,FY 2024/25 Baseline,2025,Ashadh,12,mid-Jun to mid-Jul,31,1970.0,1933.0,20.0,17.2,0.0,0.0,0.0,0.2
current_1gw,Current + 1 GW Solar,2025,Shrawan,1,mid-Jul to mid-Aug,31,1819.0,1792.0,15.0,113.5,0.0,0.0,0.0,101.5
current_1gw,Current + 1 GW Solar,2025,Bhadra,2,mid-Aug to mid-Sep,31,1857.0,1830.0,15.0,112.1,0.0,0.0,0.0,100.1
current_1gw,Current + 1 GW Solar,2025,Ashwin,3,mid-Sep to mid-Oct,30,1497.0,1453.0,31.0,143.7,0.0,0.0,0.0,130.7
current_1gw,Current + 1 GW Solar,2025,Kartik,4,mid-Oct to mid-Nov,30,1259.0,1235.0,18.0,146.4,0.0,0.0,0.0,140.4
current_1gw,Current + 1 GW Solar,2025,Mangsir,5,mid-Nov to mid-Dec,29,1063.0,992.0,13.0,143.7,0.0,0.0,0.0,85.7
