local_project,doed_project,decision,confidence,match_basis,reviewed_on,source_note
Kali Gandaki-Kowan,Kaligandaki Koban,approved,high,transliteration plus identical capacity and licence-envelope midpoint,2026-07-11,Official DoED generation-licence table updated 2026-07-02
Kaligandki Gorge,Kaligandaki Gorge,approved,high,spelling correction plus identical licence-envelope midpoint,2026-07-11,Official DoED generation-licence table updated 2026-07-02
Botekoshi 5 HYDROPOWER PROJECT,Bhotekoshi 5 HEP,approved,high,same numbered scheme and sub-kilometre licence-envelope midpoint,2026-07-11,Official DoED generation-licence table updated 2026-07-02
Upper Balefhi,Upper Balephi,approved,high,transliteration plus identical capacity and sub-kilometre midpoint,2026-07-11,Official DoED generation-licence table updated 2026-07-02
Setikhola Hydroelectric Project,Seti Khola HEP,approved,high,spacing variant plus identical capacity and midpoint,2026-07-11,Official DoED generation-licence table updated 2026-07-02
Middle Hongukhola A Hydropower Project,Madhya Hongu Khola -A HPP,approved,high,Madhya-Middle translation plus same A unit capacity and midpoint,2026-07-11,Official DoED generation-licence table updated 2026-07-02
Thuligad Khola Small HEP,Thuligad Khola Small PRoR HEP,approved,high,same named scheme and midpoint with documented capacity revision flag retained,2026-07-11,Official DoED generation-licence table updated 2026-07-02
Upper Kabeli-2HPP,Upper Kabeli-2 HEP,approved,high,same numbered scheme and near-identical midpoint with capacity revision flag retained,2026-07-11,Official DoED generation-licence table updated 2026-07-02
Middle Mailung Hydropower Project,Middle Mailung (cascade) HEP,approved,high,same named scheme and midpoint with capacity revision flag retained,2026-07-11,Official DoED generation-licence table updated 2026-07-02
Myagdi Khola- B HEP,Maygdi Khola- B HEP,approved,high,spelling variant plus same B unit and midpoint,2026-07-11,Official DoED generation-licence table updated 2026-07-02
Lower Dudkunda HPP,Lower Dudhkunda Hydropower Project,approved,high,spelling variant plus same lower scheme and sub-kilometre midpoint,2026-07-11,Official DoED generation-licence table updated 2026-07-02
Khimti Ghwang Khola Small HPP,Khimti Ghwang Khola HEP,approved,high,same named scheme and sub-kilometre midpoint,2026-07-11,Official DoED generation-licence table updated 2026-07-02
Upper Junbesi HPP,Upper Junbesi Khola HEP,approved,high,same upper scheme and sub-kilometre midpoint with capacity revision flag retained,2026-07-11,Official DoED generation-licence table updated 2026-07-02
Lower Thulo Khola Hydropower Project,Lower Thulo Khola HEP (RoR Cascade),approved,high,same lower scheme plus identical capacity and sub-kilometre midpoint,2026-07-11,Official DoED generation-licence table updated 2026-07-02
Supper Sabha Khola Small HPP,Super Sabha Khola Small Hydropower Project,approved,high,spelling correction plus identical capacity and midpoint,2026-07-11,Official DoED generation-licence table updated 2026-07-02
Parajuli Khola-1,Upper Parajuli Khola,approved,high,same capacity and midpoint with equivalent single-scheme numbering,2026-07-11,Official DoED generation-licence table updated 2026-07-02
Lodo Khola Small HEP,Lodo Khola Sana HEP,approved,high,Sana-Small translation plus same midpoint and close capacity,2026-07-11,Official DoED generation-licence table updated 2026-07-02
Upper Chirkuwa Khola,Upper Chirkhuwa Khola,approved,high,transliteration plus identical capacity and midpoint,2026-07-11,Official DoED operating-record table updated 2026-07-02
Jhyari Khola,Jhyadi Khola,approved,high,phonetic spelling variant plus identical capacity and midpoint,2026-07-11,Official DoED operating-record table updated 2026-07-02
Upper Mudi HEP,Upper Mudi Khola,approved,high,same upper scheme plus identical capacity and sub-kilometre midpoint,2026-07-11,Official DoED generation-licence table updated 2026-07-02
Upper Kabeli HPP,Mathillo Kabeli HEP,approved,high,Mathillo-Upper translation plus same Kabeli scheme and sub-kilometre midpoint,2026-07-11,Official DoED generation-licence table updated 2026-07-02
Kabeli-3 HEP,Kabeli-3 Cascade HEP,approved,high,same numbered scheme plus identical 21.93 MW capacity and near-identical midpoint,2026-07-13,Official DoED operating-record table updated 2026-07-02
Sabha Khola A HEP,Super Sabha Khola A HPP,approved,high,same A unit plus identical 9.55 MW capacity and exact licence-envelope midpoint; promoter spelling variant,2026-07-13,Official DoED generation-licence table updated 2026-07-02
Upper Pikhuwa HPP,Upper Pikhuwa Khola HEP,approved,high,same upper scheme and promoter plus exact licence-envelope midpoint; capacity revision retained,2026-07-13,Official DoED generation-licence table updated 2026-07-02
Ghunsa-Tamor HPP,Tamor Khola,approved,high,identical 43 MW capacity promoter and licence-envelope midpoint,2026-07-13,Official DoED generation-licence table updated 2026-07-02
Sabha Khola C HPP,Sabha Khola C HEP (Cascade),approved,high,same C unit and near-identical midpoint plus promoter spelling variant; capacity revision retained,2026-07-13,Official DoED generation-licence table updated 2026-07-02
